Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
819,Latavius Murray,NO,RB,1,TB,15,48,3.2,0,1,0,0,0,0,0,4.8,4.8
819,Joshua Kelley,LAC,RB,5,NO,11,29,2.6,0,1,1,9,0,0,0,4.8,4.8
819,Alec Ingold,LV,FB,4,BUF,1,-1,-1,0,2,2,29,0,0,0,4.8,4.8
819,Jerick McKinnon,SF,RB,6,LAR,6,18,3,0,3,2,10,0,0,0,4.8,4.8
819,Ronald Jones,TB,RB,9,NO,3,9,3,0,4,3,9,0,0,0,4.8,4.8
824,Damien Harris,NE,RB,12,ARI,14,47,3.4,0,0,0,0,0,0,0,4.7,4.7
824,Malcolm Brown,LAR,RB,2,PHI,11,47,4.3,0,0,0,0,0,0,0,4.7,4.7
824,Darrell Henderson Jr.,LAR,RB,4,NYG,8,21,2.6,0,1,1,16,0,0,0,4.7,4.7
824,AJ Dillon,GB,RB,8,MIN,5,21,4.2,0,1,1,16,0,0,0,4.7,4.7
824,J.D. McKissic,WAS,RB,12,DAL,1,6,6,0,2,2,21,0,0,0,4.7,4.7
824,Malcolm Perry,MIA,RB,10,LAC,1,6,6,0,2,2,21,0,0,0,4.7,4.7
824,Leonard Fournette,TB,RB,17,ATL,5,13,2.6,0,2,2,14,0,0,0,4.7,4.7
824,Trenton Cannon,CAR,RB,6,CHI,3,12,4,0,2,2,15,0,0,0,4.7,4.7
