Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
364,Anthony Firkser,TEN,TE,4,NYJ,10,6,3100,7.48
365,Cole Kmet,CHI,TE,1,LAR,1,11,3800,7.45
366,Dawson Knox,BUF,TE,1,PIT,2,2,3400,7.44
366,Eric Ebron,PIT,TE,1,BUF,14,25,3900,7.44
368,Dawson Knox,BUF,TE,2,MIA,11,21,3500,7.42
369,Cole Kmet,CHI,TE,4,DET,28,25,3000,7.4
370,James O'Shaughnessy,JAX,TE,16,NYJ,32,25,3200,7.38
371,Foster Moreau,LV,TE,15,CLE,12,24,9600,7.37
372,Jack Doyle,IND,TE,3,TEN,31,1,3400,7.36
373,Cole Kmet,CHI,TE,7,TB,20,24,3000,7.34
374,John Bates,WAS,TE,18,NYG,21,12,3000,7.32
375,Gerald Everett,SEA,TE,11,ARI,4,1,3100,7.3
376,Dan Arnold,CAR,TE,1,NYJ,28,32,2600,7.29
376,Tyler Conklin,MIN,TE,17,GB,13,19,4000,7.29
378,James O'Shaughnessy,JAX,TE,15,HOU,29,26,3200,7.27
379,Tyler Conklin,MIN,TE,3,SEA,21,10,2900,7.26
379,Tyler Conklin,MIN,TE,1,CIN,23,27,2900,7.26
381,Evan Engram,NYG,TE,18,WAS,29,20,3300,7.24
382,Robert Tonyan,GB,TE,7,WAS,32,15,3500,7.23
383,Hunter Henry,NE,TE,15,IND,11,26,4200,7.2
384,James O'Shaughnessy,JAX,TE,13,LAR,12,20,2600,7.19
385,Mo Alie-Cox,IND,TE,8,TEN,21,6,3200,7.17
386,Jonnu Smith,NE,TE,6,DAL,20,25,3000,7.16
386,Hayden Hurst,ATL,TE,5,NYJ,10,8,2700,7.16
388,Jack Doyle,IND,TE,13,HOU,28,27,3300,7.15
389,Jonnu Smith,NE,TE,7,NYJ,19,23,2800,7.13
389,Dalton Schultz,DAL,TE,2,LAC,4,22,3300,7.13
391,Eric Ebron,PIT,TE,2,LV,14,5,3500,7.1
392,C.J. Uzomah,CIN,TE,2,CHI,27,19,3000,7.05
393,Blake Jarwin,DAL,TE,3,PHI,4,6,3200,7.04
393,Jack Doyle,IND,TE,4,MIA,22,17,2700,7.04
395,Hayden Hurst,ATL,TE,2,TB,28,17,3800,7.01
396,Austin Hooper,CLE,TE,16,GB,10,19,3600,6.98
397,Pat Freiermuth,PIT,TE,3,CIN,10,5,3000,6.97
398,Dan Arnold,JAX,TE,5,TEN,25,1,2900,6.96
398,James O'Shaughnessy,JAX,TE,2,DEN,8,2,2700,6.96
400,Mo Alie-Cox,IND,TE,9,NYJ,29,23,3300,6.93
401,James O'Shaughnessy,JAX,TE,14,TEN,24,6,2900,6.86
