Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Rhamondre Stevenson,NE,RB,15,LV,28,24,8500,11.57
 Josh Jacobs,LV,RB,1,LAC,26,29,7000,11.56
 Cordarrelle Patterson,ATL,RB,3,SEA,21,17,7600,11.55
 D'Onta Foreman,CAR,RB,8,ATL,31,9,6400,11.53
 Devin Singletary,BUF,RB,12,DET,32,25,6900,11.53
 Isiah Pacheco,KC,RB,15,HOU,17,32,7600,11.51
 Cam Akers,LAR,RB,17,LAC,18,28,7200,11.51
 AJ Dillon,GB,RB,4,NE,16,4,6500,11.5
 Aaron Jones,GB,RB,17,MIN,31,21,7600,11.45
 Rashaad Penny,SEA,RB,1,DEN,4,13,6000,11.44
 Miles Sanders,PHI,RB,11,IND,6,20,7300,11.43
 David Montgomery,CHI,RB,1,SF,5,7,6600,11.42
 Chase Edmonds,MIA,RB,2,BAL,9,13,6000,11.41
 D'Andre Swift,DET,RB,14,MIN,30,18,7200,11.41
 Tyler Allgeier,ATL,RB,17,ARI,30,26,6700,11.4
 Miles Sanders,PHI,RB,2,MIN,5,27,6800,11.4
 Raheem Mostert,MIA,RB,6,MIN,16,24,6500,11.39
 Brian Robinson Jr.,WAS,RB,15,NYG,20,26,7000,11.35
 Cordarrelle Patterson,ATL,RB,10,CAR,24,30,7600,11.34
 Melvin Gordon III,DEN,RB,6,LAC,26,32,7100,11.33
 Devin Singletary,BUF,RB,11,CLE,26,30,6400,11.3
 Leonard Fournette,TB,RB,17,CAR,17,20,7000,11.3
 AJ Dillon,GB,RB,5,NYG,7,23,6700,11.27
 Jamaal Williams,DET,RB,10,CHI,14,30,7400,11.25
 Ezekiel Elliott,DAL,RB,2,CIN,7,9,7100,11.25
 Najee Harris,PIT,RB,6,TB,8,3,6200,11.25
 D'Onta Foreman,CAR,RB,10,ATL,31,21,6700,11.22
 Ezekiel Elliott,DAL,RB,3,NYG,10,21,6400,11.22
 Cordarrelle Patterson,ATL,RB,11,CHI,14,29,6700,11.21
 Ezekiel Elliott,DAL,RB,18,WAS,11,6,7600,11.21
 Najee Harris,PIT,RB,15,CAR,15,21,6600,11.21
 Miles Sanders,PHI,RB,13,TEN,19,3,7200,11.19
 Jeff Wilson Jr.,SF,RB,3,DEN,4,3,6800,11.18
 Devin Singletary,BUF,RB,5,PIT,20,26,6000,11.17
 Najee Harris,PIT,RB,13,ATL,26,24,7300,11.15
 James Robinson,JAX,RB,2,IND,13,11,6800,11.14
 D'Andre Swift,DET,RB,9,GB,6,23,7500,11.14
 Ezekiel Elliott,DAL,RB,16,PHI,3,17,7400,11.11
 D'Onta Foreman,CAR,RB,14,SEA,26,29,6900,11.1
 Ezekiel Elliott,DAL,RB,15,JAX,22,19,7500,11.1
 David Montgomery,CHI,RB,9,MIA,24,21,7000,11.07
 AJ Dillon,GB,RB,17,MIN,31,21,7200,11.03
 Kareem Hunt,CLE,RB,4,ATL,27,7,6100,11.02
 D'Andre Swift,DET,RB,18,GB,12,24,7100,10.96
 Tony Pollard,DAL,RB,11,MIN,23,5,8000,10.95
 Dameon Pierce,HOU,RB,1,IND,16,5,5400,10.93
 Najee Harris,PIT,RB,17,BAL,7,5,6500,10.91
 Najee Harris,PIT,RB,14,BAL,12,5,6700,10.9
 Isiah Pacheco,KC,RB,18,LV,30,26,6500,10.89
 Najee Harris,PIT,RB,7,MIA,26,19,7200,10.89
 D'Andre Swift,DET,RB,17,CHI,21,29,7100,10.86
 David Montgomery,CHI,RB,8,DAL,4,3,6700,10.85
 Dameon Pierce,HOU,RB,14,DAL,5,7,6500,10.85
 Devin Singletary,BUF,RB,8,GB,8,25,5900,10.83
 Rashaad Penny,SEA,RB,5,NO,13,6,6900,10.82
 Chase Edmonds,MIA,RB,1,NE,2,19,5800,10.82
 David Montgomery,CHI,RB,16,BUF,5,12,7200,10.79
 D'Andre Swift,DET,RB,16,CAR,15,22,6800,10.79
 Ezekiel Elliott,DAL,RB,6,PHI,4,14,6200,10.77
 Zonovan Knight,NYJ,RB,16,JAX,26,20,7200,10.77
 Rachaad White,TB,RB,15,CIN,9,11,6900,10.77
 Cordarrelle Patterson,ATL,RB,13,PIT,27,18,6400,10.76
 Raheem Mostert,MIA,RB,15,BUF,5,10,6200,10.74
 Ezekiel Elliott,DAL,RB,5,LAR,14,1,6200,10.73
 Raheem Mostert,MIA,RB,16,GB,12,26,7400,10.72
 AJ Dillon,GB,RB,1,MIN,30,23,6100,10.7
 Clyde Edwards-Helaire,KC,RB,3,IND,17,15,7300,10.67
 AJ Dillon,GB,RB,3,TB,3,3,6900,10.67
 Clyde Edwards-Helaire,KC,RB,1,ARI,9,6,5800,10.65
