Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Mike Gesicki,MIA,TE,4,CIN,8,19,5200,5.26
 Cameron Brate,TB,TE,6,PIT,30,12,4800,5.25
 Noah Fant,SEA,TE,8,NYG,12,22,4700,5.24
 Brevin Jordan,HOU,TE,1,IND,16,25,4800,5.21
 Albert Okwuegbunam,DEN,TE,18,LAC,15,16,5000,5.21
 Noah Fant,SEA,TE,15,SF,1,5,5200,5.17
 Foster Moreau,LV,TE,9,JAX,14,11,5400,5.15
 Kylen Granson,IND,TE,2,JAX,31,22,4700,5.14
 Hunter Henry,NE,TE,5,DET,32,27,4500,5.13
 Jordan Akins,HOU,TE,15,KC,25,13,4700,5.13
 Taysom Hill,NO,TE,2,TB,1,20,6200,5.11
 Robert Tonyan,GB,TE,15,LAR,13,17,5100,5.11
 O.J. Howard,HOU,TE,5,JAX,10,9,4500,5.1
 Chigoziem Okonkwo,TEN,TE,18,JAX,20,24,5200,5.1
 Irv Smith Jr.,MIN,TE,2,PHI,28,10,5000,5.1
 Noah Fant,SEA,TE,3,ATL,27,30,4800,5.09
 Tyler Conklin,NYJ,TE,16,JAX,26,25,5000,5.09
 Hunter Henry,NE,TE,6,CLE,20,6,4700,5.08
 Jordan Akins,HOU,TE,16,TEN,26,26,4900,5.08
 Jordan Akins,HOU,TE,13,CLE,24,8,4900,5.08
 Mo Alie-Cox,IND,TE,5,DEN,4,20,5100,5.06
 Cade Otton,TB,TE,16,ARI,30,31,4900,5.06
 Colby Parkinson,SEA,TE,18,LAR,16,17,4800,5.05
 Juwan Johnson,NO,TE,9,BAL,23,18,5000,5.04
 Trey McBride,ARI,TE,17,ATL,27,29,4800,5.04
 Logan Thomas,WAS,TE,17,CLE,15,8,5100,5.04
 Hunter Henry,NE,TE,12,MIN,26,24,4900,5.03
 Cade Otton,TB,TE,18,ATL,27,29,4900,5.03
 Juwan Johnson,NO,TE,2,TB,1,20,4500,5
 Daniel Bellinger,NYG,TE,17,IND,16,14,4700,5
 Isaiah Likely,BAL,TE,11,CAR,20,12,5400,4.98
 Cade Otton,TB,TE,12,CLE,24,7,4900,4.97
 Daniel Bellinger,NYG,TE,14,PHI,3,8,4800,4.96
 Will Dissly,SEA,TE,6,ARI,21,31,5000,4.95
 Trey McBride,ARI,TE,12,LAC,25,28,4800,4.95
